"USERID","AGE","GENDER","AREA","JOB","INCOME","EDUCATION","FAMILY","INTEREST","DEVICE"
"d758220e-9ad2-4a2f-a70e-405af9b88518","55-64","女性","広島県","経営者","300-500万円","大学院卒","子供あり","ガーデニング","マルチデバイス"
"645f33c8-d0b9-489f-a057-99826814aeb4","45-54","女性","群馬県","公務員","1000万円以上","大卒","既婚","スポーツ","マルチデバイス"
"4bad30b4-c851-4ab0-9725-58812475b7ba","35-44","女性","宮崎県","会社員","700-1000万円","大卒","子供あり","料理","スマホ中心"
"ced3fd28-b3d2-4d80-afa9-b9c25ed92406","25-34","男性","福井県","学生","1000万円以上","大卒","子供あり","投資","PC中心"
"7c6b92de-0a63-4eb5-8b07-e2c123f57ee1","55-64","その他","群馬県","公務員","300-500万円","高卒","既婚","料理","マルチデバイス"
"17d21483-8846-466c-81b8-6af9b16e8692","45-54","男性","島根県","医師","1000万円以上","大卒","子供あり","ペット","マルチデバイス"
"82e914ef-e8d0-4e74-bcaa-b7d103b4db81","18-24","女性","福岡県","無職","700-1000万円","高卒","子供あり","写真撮影","スマホ中心"
"b5a35c73-b022-44a1-a0d9-023588fa0211","45-54","その他","長野県","無職","500-700万円","高卒","子供あり","写真撮影","マルチデバイス"
"ff5b3095-86e3-4914-84e3-d469fe6e517f","18-24","女性","熊本県","学生","500-700万円","大卒","独身","スポーツ","マルチデバイス"
"e9699ff5-db86-4ba7-8eb1-a560de9e032b","25-34","女性","山形県","経営者","300-500万円","大学院卒","子供あり","ファッション","PC中心"
"b3d7b062-4f28-4851-a5a8-90bfe397f303","18-24","その他","東京都","学生","1000万円以上","専門学校卒","子供あり","投資","スマホ中心"
"acc22d2d-7e7d-4310-913b-700fc2876bf8","45-54","男性","岡山県","教師","500-700万円","大卒","子供あり","読書","マルチデバイス"
"48e85e3c-5156-4d74-96c9-104abeafccb7","18-24","女性","奈良県","会社員","500-700万円","専門学校卒","子供あり","旅行","スマホ中心"
"613e495f-c3ba-49f0-b728-53b9e2677744","45-54","その他","鳥取県","医師","500-700万円","大卒","子供あり","旅行","マルチデバイス"
"5ace4bb0-df35-4b6b-a48a-fa9a2560f61d","35-44","女性","山口県","経営者","500-700万円","大卒","独身","テクノロジー","PC中心"
"9d00b8c4-8937-40cd-8e26-630533fde111","25-34","女性","山梨県","アーティスト","500-700万円","高卒","既婚","テクノロジー","PC中心"
"0667daeb-b0ce-422e-84d2-a158b14ae296","18-24","男性","福島県","エンジニア","300万円未満","高卒","子供あり","投資","マルチデバイス"
"7b042e68-10bc-44e7-b803-9e2294cc87f4","65+","男性","鳥取県","無職","300万円未満","大学院卒","既婚","プログラミング","マルチデバイス"
"b0c7255f-4a76-4cc2-a89a-671f1ec9f0e9","65+","その他","鹿児島県","無職","500-700万円","高卒","既婚","プログラミング","スマホ中心"
"2bac26d0-96fa-4245-be03-81d9798a8adc","65+","女性","宮城県","アーティスト","300万円未満","高卒","子供あり","テクノロジー","PC中心"
"3d270dff-d91f-4a72-bcb4-840cff1cdb45","65+","その他","福岡県","弁護士","300-500万円","大卒","独身","旅行","マルチデバイス"
"5fa6237d-0059-43ca-85fb-bdf1a8f38b6a","45-54","その他","長野県","エンジニア","700-1000万円","大学院卒","子供あり","プログラミング","スマホ中心"
"6431f575-ccab-46dc-9092-4b3839c88c42","55-64","その他","石川県","主婦","300万円未満","大卒","独身","プログラミング","スマホ中心"
"83c5ab70-b36a-4ee0-b443-8fc32cdd93b3","65+","その他","群馬県","教師","300-500万円","大卒","既婚","ファッション","PC中心"
"42e2daac-085e-49b4-846d-8896f75ae6ca","45-54","男性","愛知県","アーティスト","700-1000万円","専門学校卒","独身","読書","スマホ中心"
"9ea58521-64ef-47c9-a813-ee4947952d92","35-44","その他","京都府","販売員","300-500万円","大卒","独身","アウトドア","マルチデバイス"
"bf404274-7287-4203-aa2f-f9b8e8db455d","35-44","男性","青森県","経営者","1000万円以上","専門学校卒","子供あり","スポーツ","マルチデバイス"
"c753dab9-db86-474a-8756-ca1efda8b0af","25-34","その他","静岡県","アーティスト","700-1000万円","大卒","独身","投資","マルチデバイス"
"1b3ece39-3ab9-4192-a02f-653a90b6c2de","65+","女性","鳥取県","公務員","500-700万円","大学院卒","既婚","スポーツ","スマホ中心"
"e0af69d5-c88c-43a7-8bb4-3058f86e9d0f","25-34","その他","長野県","無職","300-500万円","専門学校卒","独身","料理","マルチデバイス"
"c677e5ad-51cc-4056-9dd1-769b95f59ebe","18-24","女性","千葉県","公務員","1000万円以上","専門学校卒","独身","ペット","スマホ中心"
"9bc8b0f4-7246-433b-9052-8312f2d3915c","55-64","その他","愛知県","会社員","500-700万円","大学院卒","子供あり","音楽","PC中心"
"0356fd62-f71b-46e3-a57a-676880ede833","18-24","女性","島根県","デザイナー","700-1000万円","大学院卒","既婚","アウトドア","PC中心"
"01be80c6-f951-4ffa-8c3a-c7198244f603","55-64","男性","滋賀県","教師","300万円未満","大卒","独身","読書","PC中心"
"9512e592-54e3-4bcc-aa20-e6d346efbb40","45-54","女性","愛媛県","会社員","300万円未満","専門学校卒","子供あり","プログラミング","マルチデバイス"
"79ad7b23-3d1f-457f-bb3b-08bad0025109","25-34","男性","島根県","公務員","1000万円以上","高卒","独身","ガーデニング","スマホ中心"
"9ed4ed35-14f8-4f52-b90a-70e950ea4ac8","65+","女性","大阪府","アーティスト","300万円未満","専門学校卒","独身","ペット","マルチデバイス"
"7d69cd9f-15ba-48fb-a827-be90d0ce85a7","65+","女性","高知県","医師","300万円未満","大卒","既婚","アウトドア","マルチデバイス"
"7de686b2-5759-4244-aed3-421c2a666faf","45-54","男性","群馬県","エンジニア","500-700万円","大卒","独身","ゲーム","マルチデバイス"
"fa0d6b4c-ab87-47d8-983a-32085a1bff94","45-54","男性","長崎県","研究者","300万円未満","大卒","独身","テクノロジー","マルチデバイス"
"5559effe-cf6b-4595-95ba-5a525814d7ce","18-24","男性","秋田県","教師","1000万円以上","大学院卒","子供あり","スポーツ","マルチデバイス"
"b7f13c7a-52d2-47f0-8919-9518c0af9394","25-34","男性","兵庫県","研究者","700-1000万円","大学院卒","既婚","アウトドア","スマホ中心"
"20432a2c-c71f-4f6c-aa64-55beed044f7b","55-64","女性","香川県","無職","300-500万円","大卒","子供あり","音楽","スマホ中心"
"2a059e7d-44d3-45e1-8831-05c707c4a145","55-64","男性","愛知県","主婦","700-1000万円","大卒","独身","アウトドア","マルチデバイス"
"79057642-c454-48e0-a5ab-9253538df4c0","18-24","女性","岐阜県","会社員","300-500万円","高卒","独身","ペット","スマホ中心"
"9047bc5f-d299-4a1d-b3e2-5c797196d4bf","45-54","男性","愛媛県","主婦","300万円未満","大学院卒","独身","スポーツ","スマホ中心"
"09dc5552-1e6e-423a-8412-76769df15037","35-44","その他","東京都","アーティスト","500-700万円","大学院卒","独身","写真撮影","マルチデバイス"
"7bb62b68-2168-4387-9614-8136d2696ec3","65+","女性","神奈川県","無職","300-500万円","専門学校卒","独身","音楽","スマホ中心"
"c71861ee-f892-4578-befc-c7510c3ae116","45-54","女性","秋田県","教師","1000万円以上","高卒","既婚","映画鑑賞","マルチデバイス"
"0198f061-1194-4abd-a5f0-fa4d86699a3a","65+","その他","大阪府","フリーランス","500-700万円","高卒","子供あり","料理","スマホ中心"
"314bcf3c-fc11-41e8-aa1c-4aae4cd3c41a","65+","男性","山梨県","学生","500-700万円","大学院卒","独身","テクノロジー","PC中心"
"642b3722-30d4-4829-8074-74aa76cfcdb2","55-64","女性","長野県","アーティスト","500-700万円","大学院卒","既婚","料理","PC中心"
"07234232-1107-478a-9c13-54020c92cf08","25-34","その他","奈良県","弁護士","300万円未満","大学院卒","既婚","アウトドア","PC中心"
"454dd0c5-79b5-4f13-8731-a88c74b31556","65+","女性","奈良県","フリーランス","300万円未満","高卒","独身","ガーデニング","PC中心"
"f7a70241-96dd-45d4-8e78-a546f201a6ad","65+","男性","山形県","経営者","300万円未満","大卒","既婚","写真撮影","スマホ中心"
"1842b57d-673f-4daf-a8b5-01795e6d8adb","55-64","男性","滋賀県","経営者","300-500万円","専門学校卒","子供あり","ファッション","スマホ中心"
"9b051afb-f828-492b-9b30-741bf77c985e","35-44","女性","福島県","公務員","500-700万円","大学院卒","子供あり","音楽","PC中心"
"da391228-c65b-4515-8661-b0322b945076","45-54","男性","長野県","販売員","300万円未満","高卒","独身","プログラミング","スマホ中心"
"550f7d03-876f-4cb4-abb0-b43ef9eb53f2","25-34","男性","福島県","エンジニア","1000万円以上","大学院卒","既婚","投資","マルチデバイス"
"dc48a478-4f9c-49ae-8ddf-a7284b9e4c68","25-34","男性","愛媛県","デザイナー","300-500万円","専門学校卒","子供あり","写真撮影","スマホ中心"
"6a52e21f-37f4-485b-bc9a-81b480f0e777","18-24","女性","愛知県","フリーランス","300万円未満","大卒","既婚","ガーデニング","マルチデバイス"
"dd2c2fde-c9ff-4db5-b8ce-96b71ff026e0","25-34","男性","群馬県","デザイナー","1000万円以上","専門学校卒","独身","料理","PC中心"
"4458ceae-ffde-4cfd-9dd1-1232633419e2","45-54","女性","奈良県","販売員","500-700万円","大学院卒","独身","ペット","マルチデバイス"
"03a69453-2fc8-4376-acef-526504b82a10","35-44","その他","宮城県","弁護士","500-700万円","専門学校卒","既婚","アウトドア","PC中心"
"7d1c0a4e-2d9e-4c14-a994-2644e0f73fe9","35-44","その他","山口県","教師","300-500万円","高卒","既婚","音楽","PC中心"
"7339324e-107e-4a8f-b32a-62f13457425d","65+","男性","愛知県","エンジニア","300万円未満","高卒","既婚","投資","スマホ中心"
"e8e5b973-a4c3-4a51-93a8-5f39ddf91ff1","65+","その他","東京都","無職","500-700万円","専門学校卒","子供あり","ファッション","PC中心"
"9781b56a-55a6-4ce0-8e3c-4e917b9ab453","55-64","男性","広島県","デザイナー","500-700万円","大卒","子供あり","アウトドア","マルチデバイス"
"2465d4aa-6e28-4f89-b2bf-7296b7797c5a","45-54","男性","山口県","アーティスト","300万円未満","大学院卒","既婚","読書","マルチデバイス"
"1a9c2a77-754d-4230-9c2e-41b9d79b7140","18-24","男性","兵庫県","弁護士","300-500万円","大卒","既婚","アウトドア","スマホ中心"
"02db766f-e19a-496f-9522-fb57d8a16f5b","18-24","男性","埼玉県","主婦","500-700万円","高卒","独身","写真撮影","スマホ中心"
"6c11e1b7-e096-4b0f-9995-e672184b023a","65+","その他","千葉県","アーティスト","300万円未満","大学院卒","既婚","音楽","マルチデバイス"
"eaa41bea-f56b-4784-bde5-36665f4d257a","25-34","その他","群馬県","主婦","1000万円以上","大学院卒","子供あり","投資","マルチデバイス"
"0c4fd802-5c6a-48c3-a793-407efb3dc708","45-54","男性","岐阜県","エンジニア","500-700万円","専門学校卒","子供あり","読書","マルチデバイス"
"4cc24b64-5caf-46e3-bd73-e741e1804b8c","45-54","その他","大阪府","会社員","300万円未満","大卒","子供あり","読書","マルチデバイス"
"269dea1c-b9c5-483a-9639-4235617ede44","25-34","その他","福井県","公務員","300-500万円","大卒","独身","ファッション","スマホ中心"
"34419486-7f49-4c2a-8301-99280173d0ad","18-24","男性","和歌山県","主婦","300万円未満","大卒","独身","料理","スマホ中心"
"9de659c9-3b2a-4f49-bc8d-40d717ae1f5c","18-24","その他","三重県","主婦","300万円未満","大卒","独身","スポーツ","PC中心"
"d96973ff-77f2-40e1-8a4b-ad98d9d90601","25-34","男性","徳島県","公務員","700-1000万円","大学院卒","既婚","映画鑑賞","PC中心"
"3158b316-61e0-45ab-88e8-38ad9b94b3a7","45-54","男性","栃木県","主婦","300万円未満","高卒","子供あり","プログラミング","スマホ中心"
"c8a67fa6-a8ef-454b-a1a6-6de395eff823","55-64","その他","熊本県","アーティスト","300万円未満","大卒","子供あり","料理","PC中心"
"155fbb61-f380-4c26-9f54-ffb7904a08ef","65+","男性","山口県","医師","300万円未満","専門学校卒","子供あり","ガーデニング","スマホ中心"
"57b1d518-ebf3-477f-8a19-cfd303955eca","18-24","男性","岐阜県","会社員","700-1000万円","大学院卒","独身","写真撮影","スマホ中心"
"b3948040-d25e-4228-a07c-892c1818515f","18-24","女性","千葉県","弁護士","300-500万円","大学院卒","既婚","音楽","マルチデバイス"
"77baf664-0261-49f0-829c-66f4fc30fcd0","18-24","男性","長野県","弁護士","500-700万円","大学院卒","子供あり","映画鑑賞","PC中心"
"95f59b4a-f063-4aee-8c87-ccfa1a5fb8eb","45-54","男性","鳥取県","弁護士","300-500万円","大卒","子供あり","テクノロジー","マルチデバイス"
"33fb6059-6f65-48d2-99ad-c847a1017de3","65+","男性","福島県","無職","700-1000万円","大卒","子供あり","ゲーム","マルチデバイス"
"6abb4d1c-f0c0-4f60-9ad8-cbf64d131890","55-64","女性","香川県","公務員","1000万円以上","大学院卒","既婚","ガーデニング","スマホ中心"
"6dafb335-87a8-425e-8e61-099b9b49bcf0","18-24","その他","香川県","研究者","1000万円以上","高卒","子供あり","投資","スマホ中心"
"c138fc5b-4e01-4f21-9c41-36aab5c054a0","55-64","その他","神奈川県","学生","1000万円以上","高卒","子供あり","料理","マルチデバイス"
"bb03c5db-d867-430a-8b4f-5900bf713149","25-34","男性","大分県","会社員","300-500万円","専門学校卒","既婚","音楽","PC中心"
"ca904a67-845f-4765-a205-0461e164b8ae","25-34","男性","神奈川県","学生","1000万円以上","高卒","独身","ゲーム","マルチデバイス"
"74521c6e-dedd-4627-9a0a-b73c51972e96","55-64","男性","京都府","学生","1000万円以上","専門学校卒","独身","映画鑑賞","スマホ中心"
"6ec4221f-3ae1-491b-b193-c9e5d8b4960d","35-44","男性","栃木県","医師","300-500万円","高卒","独身","スポーツ","マルチデバイス"
"0bfa6e39-194f-421a-865b-9e070dbc2a9b","65+","女性","千葉県","公務員","300万円未満","高卒","独身","映画鑑賞","PC中心"
"935ebbb7-73dc-4354-8e5a-7a84d58de10b","45-54","その他","長崎県","無職","500-700万円","専門学校卒","子供あり","読書","スマホ中心"
"daa305c6-7a21-4b2d-82ec-bc5979a53c1a","45-54","その他","京都府","経営者","1000万円以上","大卒","子供あり","プログラミング","PC中心"
"e792f54a-9ac0-481e-860f-da89fb514502","25-34","女性","沖縄県","デザイナー","300-500万円","専門学校卒","独身","写真撮影","PC中心"
"b90e4126-d554-48cf-b155-c193e4b0e625","25-34","その他","愛知県","エンジニア","500-700万円","大卒","子供あり","投資","マルチデバイス"
"eee04a86-4427-469b-b4ca-47ab269dd179","25-34","男性","岡山県","公務員","300-500万円","大卒","既婚","写真撮影","マルチデバイス"
"efb6adc6-346e-4b2c-b8a6-cdf327bf7ad8","35-44","女性","岩手県","エンジニア","300万円未満","大卒","既婚","読書","マルチデバイス"
"a529e113-39bf-4ea6-b7af-487aebf13995","45-54","男性","京都府","医師","700-1000万円","大卒","既婚","投資","マルチデバイス"
"3331a0d1-f26f-49f9-b775-e9ff6ce59527","25-34","男性","宮城県","無職","300万円未満","高卒","独身","映画鑑賞","マルチデバイス"
"24ed18ed-c67e-40fa-8b39-52713d6cdaf4","18-24","女性","島根県","主婦","1000万円以上","専門学校卒","既婚","プログラミング","マルチデバイス"
"a6717318-c172-4503-a454-5ecf08e4bbe1","45-54","男性","群馬県","販売員","300-500万円","大学院卒","子供あり","写真撮影","スマホ中心"
"5c3b023b-4058-4f71-a0f7-21184defa6e7","55-64","その他","愛媛県","経営者","300-500万円","大学院卒","独身","ガーデニング","PC中心"
"991b3f3e-e456-4df8-9d8d-62f30a6268c3","65+","男性","宮城県","デザイナー","300万円未満","大学院卒","既婚","ファッション","スマホ中心"
"af030f9f-5284-4172-8866-bdc21f39a7c9","65+","男性","宮城県","主婦","700-1000万円","大卒","子供あり","読書","スマホ中心"
"fcd9c862-e2fd-4eec-8df2-10dd4b241884","45-54","女性","兵庫県","医師","700-1000万円","専門学校卒","既婚","ファッション","マルチデバイス"
"bf54f62d-e543-4fc0-b61d-d2907d0538a8","18-24","男性","長崎県","デザイナー","700-1000万円","専門学校卒","独身","写真撮影","スマホ中心"
"27ee64ca-6eda-4324-818b-2aab04ccd5a4","18-24","その他","静岡県","研究者","500-700万円","高卒","子供あり","アウトドア","スマホ中心"
"9fdf8f3c-e89d-403c-a8e8-3d7a30221efa","35-44","女性","宮崎県","経営者","700-1000万円","大卒","独身","テクノロジー","PC中心"
"d222747f-1b17-41e0-a308-6f61ff9e16ef","25-34","男性","山梨県","学生","500-700万円","大学院卒","子供あり","スポーツ","PC中心"
"73eaeaf6-be53-4a47-98df-133847e8ef43","55-64","女性","沖縄県","販売員","1000万円以上","専門学校卒","既婚","投資","PC中心"
"e28cb288-14c4-4cf8-b7d5-e9582b18612b","25-34","その他","大阪府","アーティスト","500-700万円","高卒","独身","映画鑑賞","マルチデバイス"
"407a0ec8-1cf9-4f65-948f-9f50cc7b4f18","55-64","その他","佐賀県","エンジニア","300万円未満","大卒","子供あり","テクノロジー","スマホ中心"
"d25fc8a8-55cf-4bef-8d7a-9bc66621cbb1","18-24","男性","京都府","会社員","700-1000万円","大卒","独身","旅行","PC中心"
"a8a4518c-ca29-48fc-a64e-bdd470805528","55-64","男性","岩手県","エンジニア","700-1000万円","高卒","子供あり","音楽","スマホ中心"
"df0593e1-93a1-4205-a554-c85461e39f1c","25-34","その他","新潟県","公務員","500-700万円","高卒","子供あり","テクノロジー","マルチデバイス"
"eb3346be-3589-4d18-af01-1240621f6a76","35-44","女性","高知県","医師","300-500万円","大学院卒","独身","ゲーム","PC中心"
"0ce4b8f0-59c8-4209-bc9b-41f82f54292a","65+","その他","秋田県","会社員","300-500万円","専門学校卒","既婚","アウトドア","スマホ中心"
"a7811d60-ba83-49f4-ad89-3c7a8bb754a5","35-44","その他","福井県","デザイナー","300-500万円","大学院卒","独身","ペット","マルチデバイス"
"fa546922-e02c-4f30-b045-3fe642fa644d","35-44","その他","大分県","弁護士","300-500万円","大卒","独身","映画鑑賞","マルチデバイス"
"63c151b6-cfa2-47ca-bbc4-e3a1cf54ba72","45-54","男性","沖縄県","経営者","500-700万円","専門学校卒","子供あり","スポーツ","スマホ中心"
"1fc94df9-304b-434f-a54b-55af17d2c955","65+","男性","島根県","会社員","700-1000万円","大卒","独身","ガーデニング","マルチデバイス"
"83013607-0985-42c9-b27f-33e465a84146","65+","その他","奈良県","無職","1000万円以上","専門学校卒","子供あり","テクノロジー","PC中心"
"8aac3edc-b396-4065-adee-b0860505c748","35-44","その他","岐阜県","公務員","300-500万円","専門学校卒","既婚","ファッション","スマホ中心"
"65046454-aefe-4088-8b70-e55bf129c76c","45-54","女性","群馬県","公務員","700-1000万円","高卒","子供あり","音楽","PC中心"
"a0f1b61d-f3c5-4245-b4d2-7c43d9ee416f","18-24","女性","福井県","無職","300-500万円","大卒","既婚","ゲーム","スマホ中心"
"4ea108cf-6ce4-4278-a1f2-485426fd5854","25-34","女性","茨城県","研究者","300万円未満","大卒","子供あり","プログラミング","マルチデバイス"
"3f15db79-6dc2-4cf0-b7c1-d6f1439c9b7d","18-24","男性","静岡県","公務員","700-1000万円","大卒","独身","読書","スマホ中心"
"36d3c3e4-f160-4c02-9664-d6730f2f3137","55-64","その他","鳥取県","会社員","500-700万円","高卒","独身","映画鑑賞","PC中心"
"9df0c932-966e-44d0-a1cb-a84849ec6347","55-64","男性","福島県","フリーランス","700-1000万円","大学院卒","独身","写真撮影","PC中心"
"86e51f0e-8614-476b-941e-c68458202357","25-34","男性","山梨県","フリーランス","300-500万円","大学院卒","子供あり","ガーデニング","スマホ中心"
"58af8e9a-c44e-429a-b3a6-e1e871442a43","65+","女性","山口県","会社員","300-500万円","大学院卒","独身","プログラミング","スマホ中心"
"57325e10-084a-42e6-9faf-1bdae2a7f82d","45-54","男性","福井県","主婦","1000万円以上","専門学校卒","子供あり","ガーデニング","マルチデバイス"
"c091577c-4259-4b69-a448-34fb3c89b0f6","18-24","男性","福島県","フリーランス","300-500万円","専門学校卒","独身","投資","PC中心"
"16e39b0a-ac98-41f1-b3c5-3329a18d0693","35-44","女性","奈良県","デザイナー","300万円未満","専門学校卒","既婚","写真撮影","スマホ中心"
"dfa43299-09f7-40f1-8beb-56938155edd1","25-34","その他","福井県","学生","1000万円以上","大卒","既婚","料理","マルチデバイス"
"30e975a6-720c-46d9-a78c-9b13a99ba140","65+","女性","和歌山県","無職","300万円未満","専門学校卒","独身","プログラミング","スマホ中心"
"2ffe2461-3ea3-49cb-b915-ddfffe85c712","55-64","男性","大分県","研究者","1000万円以上","大卒","子供あり","ゲーム","PC中心"
"525ab2b6-ae94-452d-a182-8fe318cb3f47","35-44","その他","石川県","無職","500-700万円","大学院卒","既婚","ペット","PC中心"
"992d7dd0-73f9-43e5-a3c2-0a91673a209c","55-64","女性","富山県","会社員","700-1000万円","専門学校卒","独身","料理","PC中心"
"a921eb80-8858-46d4-a352-6c2b0ba57562","65+","男性","東京都","フリーランス","700-1000万円","高卒","既婚","投資","マルチデバイス"
"935424ff-24e7-4556-8de1-4337ec72da3f","35-44","その他","岩手県","教師","700-1000万円","専門学校卒","独身","写真撮影","スマホ中心"
"bef5f11f-fa61-49eb-b48e-c55418e1a3a1","25-34","女性","新潟県","デザイナー","500-700万円","大学院卒","独身","音楽","PC中心"
"b16f4c20-a10f-48de-8b46-371b80f20a51","55-64","女性","滋賀県","経営者","300万円未満","大学院卒","既婚","アウトドア","マルチデバイス"
"8ae76087-affb-4507-ae73-96950e27882c","35-44","女性","千葉県","公務員","300-500万円","大卒","子供あり","スポーツ","マルチデバイス"
"2483910a-7e52-4b78-b465-9841884d39fa","18-24","その他","岩手県","フリーランス","300-500万円","大卒","既婚","ゲーム","マルチデバイス"
"bf5003ed-f156-48a4-942e-22e5b95dcbd1","18-24","男性","岡山県","教師","500-700万円","大卒","既婚","旅行","マルチデバイス"
"9f64d136-7ba4-41f3-b17e-6baea318e74e","45-54","その他","沖縄県","販売員","1000万円以上","大卒","独身","アウトドア","PC中心"
"9aed7966-e56f-429f-aa5c-b55355d2f8e3","65+","女性","兵庫県","学生","1000万円以上","大卒","既婚","旅行","PC中心"
"ad2b6b12-6de2-4f61-9d39-9e2c25bf1b3f","18-24","その他","青森県","学生","500-700万円","専門学校卒","独身","読書","PC中心"
"ac6df639-5db5-4113-acf6-8f7dcacc6bd1","18-24","女性","秋田県","弁護士","500-700万円","大卒","子供あり","プログラミング","PC中心"
"26f6b21e-0e69-4375-b354-68b1ebef937c","18-24","女性","山形県","デザイナー","500-700万円","大学院卒","子供あり","料理","マルチデバイス"
"83d89cff-f9c5-4513-856b-9828b0ef8c0f","45-54","その他","長野県","主婦","300万円未満","大卒","子供あり","料理","PC中心"
"4b51bed6-ea9d-4d3d-92ab-1496cc29a107","18-24","その他","山形県","フリーランス","1000万円以上","大学院卒","既婚","ファッション","スマホ中心"
"33463b32-b0b8-4dd9-a2e0-238e3a35ec09","55-64","男性","鹿児島県","アーティスト","500-700万円","専門学校卒","子供あり","読書","マルチデバイス"
"7bee1cc6-fb69-4818-b782-eedf3c4f034d","25-34","その他","北海道","フリーランス","1000万円以上","大学院卒","既婚","ゲーム","スマホ中心"
"a1177a13-71e0-442a-9926-c26073facd7d","18-24","女性","香川県","無職","500-700万円","大卒","子供あり","投資","マルチデバイス"
